,flow,volume,vortex,side_f,side_h1,PWG,meta
0,0.0,0.0,275.0,1500.0,5000.0,ATS24*10.0,DigiDoc 1
1,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
2,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
3,0.0,0.0,275.0,1500.0,5279.93164062,ATS24*10.0,DigiDoc 1
4,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
5,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
6,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
7,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
8,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
9,0.0,0.0,275.0,1500.0,5322.99804688,ATS24*10.0,DigiDoc 1
10,0.0,0.0,275.0,1500.0,5322.99804688,ATS24*10.0,DigiDoc 1
11,0.0,0.0,275.0,1500.0,5322.99804688,ATS24*10.0,DigiDoc 1
12,0.0,0.0,275.0,1500.0,5322.99804688,ATS24*10.0,DigiDoc 1
13,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
14,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
15,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
16,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
17,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
18,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
19,0.0,0.0,275.0,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
20,0.0,0.0,318.06640625,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
21,0.0,0.0,382.666015625,1500.0,5301.46484375,ATS24*10.0,DigiDoc 1
