,flow,volume,vortex,side_f,side_h1,PWG,meta
0,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
1,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
2,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
3,0.0,0.0,275.0,1543.06640625,5000.0,ATS2619.0,DigiDoc 1
4,0.0,0.0,275.0,1586.1328125,5000.0,ATS2619.0,DigiDoc 1
5,0.0,0.0,275.0,1586.1328125,5000.0,ATS2619.0,DigiDoc 1
6,0.0,0.0,275.0,1586.1328125,5000.0,ATS2619.0,DigiDoc 1
7,0.0,0.0,275.0,1607.66601562,5000.0,ATS2619.0,DigiDoc 1
8,0.0,0.0,275.0,1607.66601562,5000.0,ATS2619.0,DigiDoc 1
9,0.0,0.0,275.0,1607.66601562,5000.0,ATS2619.0,DigiDoc 1
10,0.0,0.0,275.0,1607.66601562,5000.0,ATS2619.0,DigiDoc 1
11,0.0,0.0,275.0,1607.66601562,5000.0,ATS2619.0,DigiDoc 1
12,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
13,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
14,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
15,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
16,0.0,0.0,275.0,1650.73242188,5000.0,ATS2619.0,DigiDoc 1
17,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
18,0.0,0.0,275.0,1650.73242188,5000.0,ATS2619.0,DigiDoc 1
19,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
20,0.0,0.0,275.0,1629.19921875,5000.0,ATS2619.0,DigiDoc 1
21,0.0,0.0,275.0,1543.06640625,5000.0,ATS2619.0,DigiDoc 1
22,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
23,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
24,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
25,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
26,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
27,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
28,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
29,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
30,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
31,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
32,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
33,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
34,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
35,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
36,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
37,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
38,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
39,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
40,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
41,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
42,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
43,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
44,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
45,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
46,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
47,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
48,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
49,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
50,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
51,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
52,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
53,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
54,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
55,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
56,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
57,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
58,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
59,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
60,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
61,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
62,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
63,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
64,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
65,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
66,0.0,0.0,275.0,1500.0,5000.0,ATS2619.0,DigiDoc 1
67,0.0,0.0,296.533203125,1500.0,5000.0,ATS2619.0,DigiDoc 1
68,0.0,0.0,382.666015625,1500.0,5000.0,ATS2619.0,DigiDoc 1
69,0.0,0.0,468.798828125,1500.0,5000.0,ATS2619.0,DigiDoc 1
70,0.0,0.0,533.3984375,1500.0,5000.0,ATS2619.0,DigiDoc 1
71,0.0,0.0,511.865234375,1500.0,5000.0,ATS2619.0,DigiDoc 1
72,0.0,0.0,533.3984375,1500.0,5000.0,ATS2619.0,DigiDoc 1
73,0.0,0.0,533.3984375,1500.0,5000.0,ATS2619.0,DigiDoc 1
74,7.13916546357e-06,2.07533879755e-08,533.3984375,1500.0,5000.0,ATS2619.0,DigiDoc 1
75,2.33737995436e-05,8.8700479672e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
76,-1.88486521279e-05,3.39078862769e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
77,1.52015967407e-05,7.80985744765e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
78,-1.28801301981e-05,4.06563355285e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
79,1.13955701949e-05,7.37829930717e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
80,-1.04258590881e-05,4.34752631644e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
81,9.78429509e-06,7.19179814492e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
82,-9.36083633598e-06,4.47062479144e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
83,9.08817373669e-06,7.11253576141e-08,619.53125,1500.0,5000.0,ATS2619.0,DigiDoc 1
84,-8.92357013723e-06,4.51847467501e-08,597.998046875,1500.0,5000.0,ATS2619.0,DigiDoc 1
85,8.83897226353e-06,7.08794335626e-08,641.064453125,1500.0,5000.0,ATS2619.0,DigiDoc 1
86,-8.81543427442e-06,4.5253171137e-08,727.197265625,1500.0,5000.0,ATS2619.0,DigiDoc 1
