,flow,volume,vortex,side_f,side_h1,PWG,meta
0,4.49766682231e-05,1.30746128555e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
1,1.34740738569e-05,1.69914947907e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
2,-1.61553296004e-05,1.22951780464e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
3,1.50147584197e-05,1.66599334009e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
4,-1.36527241576e-05,1.26911182389e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
5,1.25094218533e-05,1.63275780799e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
6,-1.16046173348e-05,1.29541428082e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
7,1.08963593754e-05,1.61216891382e-07,0.0,0.0,0.0,ATS2622.0,DigiDoc 1
8,-1.03419213826e-05,1.31153166433e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
9,9.90731699641e-06,1.59953506539e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
10,-9.566947125e-06,1.32142613734e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
11,9.30170838548e-06,1.59182463691e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
12,-9.09726973315e-06,1.32736912142e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
13,8.94277094698e-06,1.58733339313e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
14,-8.82988879779e-06,1.33065057924e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
15,8.75217511254e-06,1.58507427437e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
16,-8.70458643681e-06,1.33203397098e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
17,8.68314706553e-06,1.58445103684e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
18,-8.68470511942e-06,1.33198867871e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
19,8.70675409763e-06,1.5850919955e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
20,-8.74730107176e-06,1.3308099876e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
21,8.80476855264e-06,1.58676256181e-07,275.0,1500.0,5000.0,ATS2622.0,DigiDoc 1
