,flow,volume,vortex,side_f,side_h1,PWG,meta
0,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
1,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
2,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
3,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
4,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
5,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
6,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
7,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
8,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
9,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
10,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
11,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
12,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
13,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
14,0.0,0.0,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
15,7.11393019216e-05,2.06800296284e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
16,-5.75485807532e-06,1.90071057693e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
17,-3.41784956158e-07,1.89077496774e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
18,1.17810832442e-06,1.92502230275e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
19,-1.06642294186e-06,1.89402163583e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
20,7.559982477e-07,1.91599832908e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
21,-4.22051367359e-07,1.90372939398e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
22,1.09164907816e-07,1.90690279247e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
23,1.73489833491e-07,1.91194610158e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
24,-4.26946497758e-07,1.89953486618e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
25,6.54920992828e-07,1.91857326713e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
26,-8.61454417599e-07,1.89353098755e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
27,1.05020726496e-06,1.92406026851e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
28,-1.22430392319e-06,1.88847003819e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
29,1.3863568573e-06,1.92877110962e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
30,-1.53854104291e-06,1.8840460793e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
31,1.68267378556e-06,1.93296101493e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
32,-1.82028568921e-06,1.88004573327e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
33,1.95267968281e-06,1.93680967753e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
34,-2.08097882089e-06,1.87631610716e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
35,2.20616466452e-06,1.9404488009e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
36,-2.32910815556e-06,1.87274216847e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
37,2.45059464299e-06,1.94398038483e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
38,-2.57134443751e-06,1.86923200002e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
39,2.69203000997e-06,1.94748868636e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
40,-2.81329067941e-06,1.86570698056e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
41,2.93574553154e-06,1.95104842043e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
42,-3.06000511087e-06,1.86209478349e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
43,3.18668241102e-06,1.95473090009e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
44,-3.31640356288e-06,1.85832381977e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
45,3.44981865995e-06,1.95860924593e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
46,-3.58761309471e-06,1.8543181676e-07,275.0,1500.0,5000.0,ATS2614.0,DigiDoc 1
47,3.73051986488e-06,1.96276351251e-07,275.0,1500.0,5021.53320312,ATS2614.0,DigiDoc 1
48,-3.87933329234e-06,1.84999219587e-07,275.0,1500.0,5107.66601562,ATS2614.0,DigiDoc 1
49,4.0349247531e-06,1.96728652009e-07,275.0,1500.0,5107.66601562,ATS2614.0,DigiDoc 1
50,-4.19826107498e-06,1.84524404698e-07,275.0,1500.0,5107.66601562,ATS2614.0,DigiDoc 1
51,4.37042647981e-06,1.97229132837e-07,275.0,1500.0,5107.66601562,ATS2614.0,DigiDoc 1
52,-4.55264916939e-06,1.83994687577e-07,275.0,1500.0,5107.66601562,ATS2614.0,DigiDoc 1
53,4.74633401783e-06,1.97792170187e-07,275.0,1500.0,5193.79882812,ATS2614.0,DigiDoc 1
54,-4.95310329705e-06,1.83393614091e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
55,5.17484808595e-06,1.98436777131e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
56,-5.41379396479e-06,1.82699003978e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
57,5.67258606873e-06,1.99189079759e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
58,-5.95440068223e-06,1.8187977545e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
59,6.26309375324e-06,2.00086443337e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
60,-6.60340158697e-06,1.80890508492e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
61,6.98121663257e-06,2.01184742889e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
62,-7.40397347964e-06,1.79661564169e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
63,7.88120028493e-06,2.02572030113e-07,275.0,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
64,-8.42532476168e-06,1.78079806969e-07,275.0,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
65,9.05288315108e-06,2.04396327757e-07,296.533203125,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
66,-9.786387879e-06,1.75947525783e-07,361.1328125,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
67,1.0657312101e-05,2.06928084216e-07,382.666015625,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
68,-1.17110499768e-05,1.72884334284e-07,361.1328125,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
69,1.30155482411e-05,2.10720230333e-07,382.666015625,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
70,-1.46771656363e-05,1.68054051158e-07,382.666015625,1500.0,5301.46484375,ATS2614.0,DigiDoc 1
71,1.68717673241e-05,2.17099886403e-07,382.666015625,1500.0,5279.93164062,ATS2614.0,DigiDoc 1
72,-1.99106265782e-05,1.59220157977e-07,468.798828125,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
73,2.43935339027e-05,2.30131593741e-07,490.33203125,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
74,-3.16002114672e-05,1.38270513895e-07,511.865234375,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
75,4.44805741768e-05,2.67574508594e-07,597.998046875,1500.0,5215.33203125,ATS2614.0,DigiDoc 1
76,-6.43561194954e-05,8.04927658753e-08,597.998046875,1543.06640625,5215.33203125,ATS2614.0,DigiDoc 1
77,0.00296772499398,8.70760030651e-06,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
78,0.0066670865323,2.80886658074e-05,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
79,0.0120452514714,6.31039317126e-05,597.998046875,1629.19921875,5236.86523438,ATS2614.0,DigiDoc 1
80,0.0198141676241,0.000120703256201,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
81,0.0286349068851,0.000203944264588,597.998046875,1629.19921875,5236.86523438,ATS2614.0,DigiDoc 1
82,0.0388850719905,0.000316982264561,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
83,0.0515636131881,0.000466876488945,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
84,0.0657496863902,0.000658009298219,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
85,0.0817239685057,0.000895578974107,597.998046875,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
86,0.100753641749,0.00118846746756,641.064453125,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
87,0.121601747867,0.00154196092067,662.59765625,1629.19921875,5215.33203125,ATS2614.0,DigiDoc 1
88,0.144782275252,0.00196283962779,662.59765625,1650.73242188,5279.93164062,ATS2614.0,DigiDoc 1
89,0.169863558167,0.00245662904107,662.59765625,1650.73242188,5279.93164062,ATS2614.0,DigiDoc 1
90,0.198067274887,0.00303240600295,705.6640625,1650.73242188,5279.93164062,ATS2614.0,DigiDoc 1
91,0.227988690314,0.00369516382363,791.796875,1650.73242188,5279.93164062,ATS2614.0,DigiDoc 1
92,0.261975704785,0.00445672110498,791.796875,1650.73242188,5236.86523438,ATS2614.0,DigiDoc 1
93,0.298519111977,0.0053245092212,791.796875,1736.86523438,5236.86523438,ATS2614.0,DigiDoc 1
94,0.337913119789,0.00630681480198,791.796875,1779.93164062,5279.93164062,ATS2614.0,DigiDoc 1
95,0.380522351725,0.00741298442909,813.330078125,1779.93164062,5366.06445312,ATS2614.0,DigiDoc 1
96,0.426929880016,0.00865405966169,813.330078125,1779.93164062,5366.06445312,ATS2614.0,DigiDoc 1
97,0.476665179276,0.0100397142526,899.462890625,1779.93164062,5344.53125,ATS2614.0,DigiDoc 1
